"category","bucket","fullName","destPath","cloneUrl"
"crossplatform","top-stars","shammarafzal/claude-flutter-mobile-app-development-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\top-stars\011_shammarafzal-claude-flutter-mobile-app-development-skill","https://github.com/shammarafzal/claude-flutter-mobile-app-development-skill.git"
"crossplatform","top-stars","zero-labsco/flutter-agent-kit","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\top-stars\012_zero-labsco-flutter-agent-kit","https://github.com/zero-labsco/flutter-agent-kit.git"
"crossplatform","top-stars","Zulut30/dart-mobile-game-studio","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\top-stars\013_Zulut30-dart-mobile-game-studio","https://github.com/Zulut30/dart-mobile-game-studio.git"
"crossplatform","top-stars","almasumdev/awesome-kotlin-multiplatform-agent-skills","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\top-stars\014_almasumdev-awesome-kotlin-multiplatform-agent-skills","https://github.com/almasumdev/awesome-kotlin-multiplatform-agent-skills.git"
"crossplatform","top-stars","gabriel-tutor/ionic-capacitor-skills","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\top-stars\015_gabriel-tutor-ionic-capacitor-skills","https://github.com/gabriel-tutor/ionic-capacitor-skills.git"
"crossplatform","top-stars","Fredjuel/arc-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\top-stars\016_Fredjuel-arc-skill","https://github.com/Fredjuel/arc-skill.git"
"crossplatform","noname","bioanywhere/mcp-awesome-react-native","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\001_bioanywhere-mcp-awesome-react-native","https://github.com/bioanywhere/mcp-awesome-react-native.git"
"crossplatform","noname","taimour1446/claude-react-native-builder","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\002_taimour1446-claude-react-native-builder","https://github.com/taimour1446/claude-react-native-builder.git"
"crossplatform","noname","cadoCG/mobbin-flutter","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\003_cadoCG-mobbin-flutter","https://github.com/cadoCG/mobbin-flutter.git"
"crossplatform","noname","alimomin1998/v8v-react-native","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\004_alimomin1998-v8v-react-native","https://github.com/alimomin1998/v8v-react-native.git"
"crossplatform","noname","NoaTubic/flutter-localization-audit-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\005_NoaTubic-flutter-localization-audit-skill","https://github.com/NoaTubic/flutter-localization-audit-skill.git"
"crossplatform","noname","NoaTubic/flutter-store-readiness-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\006_NoaTubic-flutter-store-readiness-skill","https://github.com/NoaTubic/flutter-store-readiness-skill.git"
"crossplatform","noname","NoaTubic/owasp-mobile-audit-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\007_NoaTubic-owasp-mobile-audit-skill","https://github.com/NoaTubic/owasp-mobile-audit-skill.git"
"crossplatform","noname","NoaTubic/flutter-dependency-audit-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\008_NoaTubic-flutter-dependency-audit-skill","https://github.com/NoaTubic/flutter-dependency-audit-skill.git"
"crossplatform","noname","DumbGreenFish/greenfish-cpm-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\009_DumbGreenFish-greenfish-cpm-skill","https://github.com/DumbGreenFish/greenfish-cpm-skill.git"
"crossplatform","noname","iskra-ai-tech/riverpod-internals","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\010_iskra-ai-tech-riverpod-internals","https://github.com/iskra-ai-tech/riverpod-internals.git"
"crossplatform","noname","huseyininnc/flame-game-dev","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\011_huseyininnc-flame-game-dev","https://github.com/huseyininnc/flame-game-dev.git"
"crossplatform","noname","kachouri/mobile-hybrid-audit","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\012_kachouri-mobile-hybrid-audit","https://github.com/kachouri/mobile-hybrid-audit.git"
"crossplatform","noname","JoDaBaRo/agentic-mobile-rules","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\013_JoDaBaRo-agentic-mobile-rules","https://github.com/JoDaBaRo/agentic-mobile-rules.git"
"crossplatform","noname","RubenGlez/mobile-design","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\014_RubenGlez-mobile-design","https://github.com/RubenGlez/mobile-design.git"
"crossplatform","noname","dbjpanda/starter-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\015_dbjpanda-starter-skill","https://github.com/dbjpanda/starter-skill.git"
"crossplatform","noname","cs32dasdasd/ionik-capacitor-flux-patterns","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\016_cs32dasdasd-ionik-capacitor-flux-patterns","https://github.com/cs32dasdasd/ionik-capacitor-flux-patterns.git"
"crossplatform","noname","InkPalAI/inkpal_npm","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\017_InkPalAI-inkpal_npm","https://github.com/InkPalAI/inkpal_npm.git"
"crossplatform","noname","KevlarTheGreat/flutter-mcp-server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\018_KevlarTheGreat-flutter-mcp-server","https://github.com/KevlarTheGreat/flutter-mcp-server.git"
"crossplatform","noname","MukalDadhwal/Flutter-Mcp-Server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\noname\019_MukalDadhwal-Flutter-Mcp-Server","https://github.com/MukalDadhwal/Flutter-Mcp-Server.git"
